Symbol,Shortname,Currentprice,Revenuegrowth
ITW,Illinois Tool Works Inc.,258.82,-0.016
SNPS,"Synopsys, Inc.",492.18,0.127
CTAS,Cintas Corporation,186.94,0.068
CL,Colgate-Palmolive Company,92.03,0.024
USB,U.S. Bancorp,47.92,-0.032
FTNT,"Fortinet, Inc.",97.19,0.13
ZTS,Zoetis Inc.,164.84,0.11
MCK,McKesson Corporation,579.74,0.213
GD,General Dynamics Corporation,263.64,0.104
TDG,Transdigm Group Incorporated,1276.15,0.18
CEG,Constellation Energy Corporatio,227.02,0.072
AJG,Arthur J. Gallagher & Co.,283.1,0.119
EMR,Emerson Electric Company,124.09,0.129
MMM,3M Company,129.28,0.004
ORLY,"O'Reilly Automotive, Inc.",1219.11,0.038
NOC,Northrop Grumman Corporation,469.54,0.023
COF,Capital One Financial Corporati,178.65,0.064
ECL,Ecolab Inc.,238.29,0.178
EOG,"EOG Resources, Inc.",119.04,-0.039
FDX,FedEx Corporation,275.73,0.139
BDX,"Becton, Dickinson and Company",227.68,0.069
APD,"Air Products and Chemicals, Inc",294.99,-0.001
WMB,"Williams Companies, Inc. (The)",53.49,0.045
SPG,"Simon Property Group, Inc.",171.61,0.049
ADSK,"Autodesk, Inc.",298.12,0.119
RCL,Royal Caribbean Cruises Ltd.,238.43,0.175
RSG,"Republic Services, Inc.",203.73,0.065
CARR,Carrier Global Corporation,68.49,0.213
CSX,CSX Corporation,31.85,0.013
HLT,Hilton Worldwide Holdings Inc.,249.42,0.063
DLR,"Digital Realty Trust, Inc.",178.57,0.016
TGT,Target Corporation,131.48,0.027
KMI,"Kinder Morgan, Inc.",26.85,-0.053
OKE,"ONEOK, Inc.",100.08,0.199
TFC,Truist Financial Corporation,43.32,0.061
AFL,AFLAC Incorporated,102.69,-0.404
GM,General Motors Company,51.81,0.105
BK,The Bank of New York Mellon Cor,77.62,0.047
ROP,"Roper Technologies, Inc.",525.4,0.129
MET,"MetLife, Inc.",81.36,0.162
CPRT,"Copart, Inc.",58.22,0.072
FCX,"Freeport-McMoRan, Inc.",38.86,0.166
CVS,CVS Health Corporation,44.36,0.06
PCAR,PACCAR Inc.,105.32,-0.052
SRE,DBA Sempra,86.81,-0.167
AZO,"AutoZone, Inc.",3253.47,0.09
TRV,"The Travelers Companies, Inc.",240.76,0.119
NXPI,NXP Semiconductors N.V.,210.24,-0.054
JCI,Johnson Controls International ,80.64,-0.095
GWW,"W.W. Grainger, Inc.",1092.96,0.043
NSC,Norfolk Southern Corporation,234.15,0.027
PSA,Public Storage,297.5,0.034
SLB,Schlumberger N.V.,36.83,0.102
AMP,"Ameriprise Financial, Inc.",532.12,0.119
ALL,Allstate Corporation (The),193.56,0.147
FICO,Fair Isaac Corporation,2090.98,0.164
MNST,Monster Beverage Corporation,51.72,0.013
PAYX,"Paychex, Inc.",139.54,0.025
CHTR,"Charter Communications, Inc.",351.5,0.016
AEP,American Electric Power Company,92.75,0.015
ROST,"Ross Stores, Inc.",149.15,0.071
PWR,"Quanta Services, Inc.",328.41,0.155
CMI,Cummins Inc.,351.38,0.003
AXON,"Axon Enterprise, Inc.",631.69,0.317
VST,Vistra Corp.,139.95,0.539
URI,"United Rentals, Inc.",722.64,0.06
MSCI,MSCI Inc.,604.8,0.159
LULU,lululemon athletica inc.,379.42,0.073
O,Realty Income Corporation,52.79,0.286
PSX,Phillips 66,110.37,-0.104
AIG,"American International Group, I",72.69,-0.086
FANG,"Diamondback Energy, Inc.",154.94,0.087
D,"Dominion Energy, Inc.",53.66,0.034
HWM,Howmet Aerospace Inc.,110.83,0.107
DHI,"D.R. Horton, Inc.",139.61,-0.048
KR,Kroger Company (The),61.85,-0.006
NDAQ,"Nasdaq, Inc.",77.7,0.311
OXY,Occidental Petroleum Corporatio,47.13,0.002
EW,Edwards Lifesciences Corporatio,74.81,0.089
COR,"Cencora, Inc.",227.69,0.147
KDP,Keurig Dr Pepper Inc.,32.37,0.023
FIS,Fidelity National Information S,81.46,0.031
KMB,Kimberly-Clark Corporation,131.32,-0.035
NEM,Newmont Corporation,38.28,0.847
DFS,Discover Financial Services,173.16,0.605
PCG,Pacific Gas & Electric Co.,19.82,0.009
TEL,TE Connectivity plc,143.67,0.008
MPC,Marathon Petroleum Corporation,133.38,-0.148
FAST,Fastenal Company,74.82,0.035
AME,"AMETEK, Inc.",183.36,0.053
PEG,Public Service Enterprise Group,85.06,0.076
PRU,"Prudential Financial, Inc.",117.83,1.334
KVUE,Kenvue Inc.,21.77,-0.004
STZ,"Constellation Brands, Inc.",227.63,0.029
GLW,Corning Incorporated,47.31,0.069
LHX,"L3Harris Technologies, Inc.",213.55,0.077
GRMN,Garmin Ltd.,208.99,0.241
BKR,Baker Hughes Company,40.32,0.04
CBRE,CBRE Group Inc,129.16,0.148
CTVA,"Corteva, Inc.",57.48,-0.102
HES,Hess Corporation,128.19,0.133
CCI,Crown Castle Inc.,90.66,-0.009
DAL,"Delta Air Lines, Inc.",60.93,0.012
CTSH,Cognizant Technology Solutions ,79.23,0.03
F,Ford Motor Company,9.88,0.055
VRSK,"Verisk Analytics, Inc.",276.86,0.07
EA,Electronic Arts Inc.,147.8,0.058
ODFL,"Old Dominion Freight Line, Inc.",181.37,-0.03
XEL,Xcel Energy Inc.,67.4,-0.005
TRGP,"Targa Resources, Inc.",176.79,-0.012
A,"Agilent Technologies, Inc.",134.51,-0.056
IT,"Gartner, Inc.",491.25,0.054
LVS,Las Vegas Sands Corp.,52.25,-0.04
SYY,Sysco Corporation,76.97,0.044
VLO,Valero Energy Corporation,118.59,-0.152
OTIS,Otis Worldwide Corporation,93.56,0.007
LEN,Lennar Corporation,138.08,0.079
EXC,Exelon Corporation,37.02,0.029
IR,Ingersoll Rand Inc.,92.28,0.07
YUM,"Yum! Brands, Inc.",132.36,0.069
KHC,The Kraft Heinz Company,30.52,-0.028
GEHC,GE HealthCare Technologies Inc.,78.91,0.009
IQV,"IQVIA Holdings, Inc.",197.27,0.043
GIS,"General Mills, Inc.",63.61,-0.012
CCL,Carnival Corporation,26.8,0.152
RMD,ResMed Inc.,237.27,0.111
VMC,Vulcan Materials Company (Holdi,263.13,-0.083
HSY,The Hershey Company,170.26,-0.014
ACGL,Arch Capital Group Ltd.,90.99,0.418
IDXX,"IDEXX Laboratories, Inc.",412.26,0.066
WAB,Westinghouse Air Brake Technolo,193.03,0.044
ROK,"Rockwell Automation, Inc.",289.79,-0.206
MLM,"Martin Marietta Materials, Inc.",533.69,-0.053
EXR,Extra Space Storage Inc,147.0,0.12
DD,"DuPont de Nemours, Inc.",77.28,0.044
ETR,Entergy Corporation,75.13,-0.057
DECK,Deckers Outdoor Corporation,210.97,0.201
EFX,"Equifax, Inc.",258.43,0.093
UAL,"United Airlines Holdings, Inc.",97.4,0.025
WTW,Willis Towers Watson Public Lim,317.57,0.057
TTWO,"Take-Two Interactive Software, ",181.97,0.041
HIG,Hartford Financial Services Gro,109.47,0.095
RJF,"Raymond James Financial, Inc.",155.05,0.132
AVB,"AvalonBay Communities, Inc.",222.17,0.094
MTB,M&T Bank Corporation,189.48,0.012
DXCM,"DexCom, Inc.",80.04,0.02
ED,"Consolidated Edison, Inc.",90.03,0.057
EBAY,eBay Inc.,65.01,0.03
HPQ,HP Inc.,32.94,0.024
IRM,Iron Mountain Incorporated (Del,105.1,0.122
EIX,Edison International,79.52,0.106
LYV,"Live Nation Entertainment, Inc.",133.28,-0.062
VICI,VICI Properties Inc.,28.79,0.067
CNC,Centene Corporation,59.58,0.061
WEC,"WEC Energy Group, Inc.",94.5,-0.048
MCHP,Microchip Technology Incorporat,55.51,-0.484
HUM,Humana Inc.,247.1,0.113
ANSS,"ANSYS, Inc.",338.38,0.312
BRO,"Brown & Brown, Inc.",102.93,0.099
CSGP,"CoStar Group, Inc.",71.44,0.109
MPWR,"Monolithic Power Systems, Inc.",593.22,0.306
GDDY,GoDaddy Inc.,205.41,0.073
TSCO,Tractor Supply Company,53.92,0.016
STT,State Street Corporation,98.2,0.201
CAH,"Cardinal Health, Inc.",118.28,-0.043
GPN,Global Payments Inc.,112.03,0.051
FITB,Fifth Third Bancorp,42.93,-0.03
XYL,Xylem Inc.,117.14,0.013
HPE,Hewlett Packard Enterprise Comp,21.61,0.101
KEYS,Keysight Technologies Inc.,163.22,-0.119
DOW,Dow Inc.,39.94,0.014
EQR,Equity Residential,71.35,0.034
ON,ON Semiconductor Corporation,65.5,-0.192
PPG,"PPG Industries, Inc.",120.21,-0.015
K,Kellanova,80.5,-0.007
SW,Smurfit WestRock plc,53.28,1.632
NUE,Nucor Corporation,116.58,-0.152
EL,"Estee Lauder Companies, Inc. (T",74.36,-0.045
BR,"Broadridge Financial Solutions,",226.01,-0.006
WBD,"Warner Bros. Discovery, Inc. - ",10.69,-0.036
TPL,Texas Pacific Land Corporation,1133.12,0.099
CHD,"Church & Dwight Company, Inc.",106.1,0.038
MTD,"Mettler-Toledo International, I",1230.74,0.013
DOV,Dover Corporation,189.27,0.013
TYL,"Tyler Technologies, Inc.",605.42,0.098
FTV,Fortive Corporation,74.45,0.027
TROW,"T. Rowe Price Group, Inc.",116.12,0.069
VLTO,Veralto Corp,104.25,0.047
EQT,EQT Corporation,42.99,0.195
SYF,Synchrony Financial,65.45,0.116
NVR,"NVR, Inc.",8276.78,0.06
DTE,DTE Energy Company,120.18,0.006
VTR,"Ventas, Inc.",58.76,0.08
AWK,"American Water Works Company, I",125.92,0.134
ADM,Archer-Daniels-Midland Company,50.49,-0.117
NTAP,"NetApp, Inc.",118.45,0.076
WST,"West Pharmaceutical Services, I",331.4,-0.001
CPAY,"Corpay, Inc.",343.83,0.06
PPL,PPL Corporation,32.43,0.011
LYB,LyondellBasell Industries NV,73.5,-0.029
AEE,Ameren Corporation,89.29,0.056
EXPE,"Expedia Group, Inc.",184.75,0.033
HBAN,Huntington Bancshares Incorpora,16.32,-0.012
CDW,CDW Corporation,174.53,-0.02
FE,FirstEnergy Corp.,39.79,0.069
HUBB,Hubbell Inc,426.8,0.049
HAL,Halliburton Company,25.97,-0.018
ROL,"Rollins, Inc.",46.92,0.09
PHM,"PulteGroup, Inc.",110.52,0.118
CINF,Cincinnati Financial Corporatio,144.57,0.833
PTC,PTC Inc.,187.58,0.146
WRB,W.R. Berkley Corporation,58.57,0.122
DRI,"Darden Restaurants, Inc.",187.59,0.01
FOXA,Fox Corporation,49.53,0.111
FOX,Fox Corporation,46.65,0.111
IFF,International Flavors & Fragran,85.74,0.037
SBAC,SBA Communications Corporation,203.57,-0.022
WAT,Waters Corporation,368.16,0.04
ERIE,Erie Indemnity Company,416.48,0.164
TDY,Teledyne Technologies Incorpora,467.25,0.029
ATO,Atmos Energy Corporation,139.69,0.059
RF,Regions Financial Corporation,23.77,0.156
BIIB,Biogen Inc.,146.47,-0.025
ZBH,"Zimmer Biomet Holdings, Inc.",107.12,0.04
CNP,"CenterPoint Energy, Inc (Holdin",32.54,-0.002
MKC,"McCormick & Company, Incorporat",78.86,-0.003
ES,Eversource Energy (D/B/A),56.95,0.097
WDC,Western Digital Corporation,60.24,
